sc,SMax
1,64053.0
2,17172.0
3,266841.0
4,269802.0
5,0.0
6,152775.0
7,71937.0
8,200160.0
9,96966.0
10,166437.0
11,260757.0
12,162387.0
13,267345.0
14,290052.0
15,43713.0
16,125028.0
17,242064.0
18,144.0
19,1188.0
20,7938.0
21,0.0
22,4878.0
23,37143.0
24,196767.0
25,89640.0
26,189891.0
27,160740.0
28,12330.0
29,351.0
30,16263.0
31,306486.0
32,0.0
33,10755.0
34,200691.0
35,227970.0
36,194877.0
37,0.0
38,0.0
39,251307.0
40,39312.0
41,0.0
42,223497.0
43,0.0
44,4797.0
45,27117.0
46,172278.0
47,711.0
48,311400.0
49,7524.0
50,157203.0
51,264330.0
52,193779.0
53,0.0
54,3132.0
55,1926.0
56,48978.0
57,155799.0
58,48609.0
59,215946.0
60,0.0
61,65367.0
62,225873.0
63,315.0
64,165708.0
65,192852.0
66,27711.0
67,233316.0
68,88200.0
69,3483.0
70,1404.0
71,18.0
72,254970.0
73,0.0
74,0.0
75,0.0
76,13797.0
77,154971.0
78,200709.0
79,5040.0
80,45234.0
81,8649.0
82,0.0
83,10278.0
84,567.0
85,256077.0
86,1206.0
87,4518.0
88,37539.0
89,0.0
90,37701.0
91,46647.0
92,111447.0
93,657.0
94,0.0
95,12006.0
96,9432.0
97,873.0
98,9.0
99,0.0
100,4167.0
101,144.0
102,0.0
103,0.0
104,108.0
105,0.0
106,0.0
107,0.0
108,1215.0
109,0.0
110,5589.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,14112.0
117,28557.0
118,264942.0
119,24777.0
120,15345.0
121,81.0
122,0.0
123,8370.0
124,18.0
125,3078.0
126,36729.0
127,31644.0
128,1683.0
129,36.0
130,3609.0
131,108.0
132,14229.0
133,18.0
134,0.0
135,144.0
136,0.0
137,9.0
138,94752.0
139,221868.0
140,279792.0
141,267156.0
142,255240.0
143,166797.0
144,208008.0
145,204354.0
146,181863.0
147,173250.0
148,223956.0
149,216666.0
150,197037.0
151,165303.0
152,175734.0
153,173709.0
154,168039.0
155,170955.0
156,218133.0
157,202149.0
158,183825.0
159,177273.0
160,236511.0
161,216036.0
162,192447.0
163,158931.0
164,199782.0
165,194724.0
166,173421.0
167,63873.0
168,137952.0
169,122067.0
170,89847.0
171,159507.0
172,169506.0
173,167517.0
174,162369.0
175,21267.0
176,91440.0
177,60975.0
178,60903.0
179,91836.0
180,175248.0
181,130860.0
182,105759.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,8208.0
240,3465.0
241,162.0
242,63.0
243,108.0
244,54.0
245,0.0
246,0.0
247,0.0
248,360.0
249,729.0
250,72.0
